,best_of_age_camn_using_poly,best_of_age_camn_using_rbf,w2v_twitter_d100_poly_age,w2v_twitter_d100_rbf_age,w2v_twitter_d200_poly_age,w2v_twitter_d200_rbf_age,w2v_wikigiga_d100_poly_age,w2v_wikigiga_d100_rbf_age,w2v_wikigiga_d200_poly_age,w2v_wikigiga_d200_rbf_age
best_of_age_camn_using_poly,,,0.00319709944793,0.000157052284231,0.00319709944793,0.000157052284231,0.00319709944793,0.000157052284231,0.00319709944793,0.000157052284231
best_of_age_camn_using_rbf,,,0.00319709944793,0.000157052284231,0.00319709944793,0.000157052284231,0.00319709944793,0.000157052284231,0.00319709944793,0.000157052284231
w2v_twitter_d100_poly_age,0.00319709944793,0.00319709944793,,0.000157052284231,,0.000157052284231,,0.000157052284231,,0.000157052284231
w2v_twitter_d100_rbf_age,0.000157052284231,0.000157052284231,0.000157052284231,,0.000157052284231,,0.000157052284231,,0.000157052284231,
w2v_twitter_d200_poly_age,0.00319709944793,0.00319709944793,,0.000157052284231,,0.000157052284231,,0.000157052284231,,0.000157052284231
w2v_twitter_d200_rbf_age,0.000157052284231,0.000157052284231,0.000157052284231,,0.000157052284231,,0.000157052284231,,0.000157052284231,
w2v_wikigiga_d100_poly_age,0.00319709944793,0.00319709944793,,0.000157052284231,,0.000157052284231,,0.000157052284231,,0.000157052284231
w2v_wikigiga_d100_rbf_age,0.000157052284231,0.000157052284231,0.000157052284231,,0.000157052284231,,0.000157052284231,,0.000157052284231,
w2v_wikigiga_d200_poly_age,0.00319709944793,0.00319709944793,,0.000157052284231,,0.000157052284231,,0.000157052284231,,0.000157052284231
w2v_wikigiga_d200_rbf_age,0.000157052284231,0.000157052284231,0.000157052284231,,0.000157052284231,,0.000157052284231,,0.000157052284231,
