,best_of_gender_camn_using_poly,best_of_gender_camn_using_rbf,w2v_twitter_d100_poly_gender,w2v_twitter_d100_rbf_gender,w2v_twitter_d200_poly_gender,w2v_twitter_d200_rbf_gender,w2v_wikigiga_d100_poly_gender,w2v_wikigiga_d100_rbf_gender,w2v_wikigiga_d200_poly_gender,w2v_wikigiga_d200_rbf_gender
best_of_gender_camn_using_poly,,,0.0155644113866,0.000381058452051,0.0155644113866,0.000880743190742,0.0257480808211,0.000157052284231,0.0081509715935,0.000582839943179
best_of_gender_camn_using_rbf,,,0.0155644113866,0.000329838520778,0.0155644113866,0.000669729449022,0.0312090127717,0.000157052284231,0.00579535854433,0.000439638752627
w2v_twitter_d100_poly_gender,0.0155644113866,0.0155644113866,,,,,,,,
w2v_twitter_d100_rbf_gender,0.000381058452051,0.000329838520778,,,,,,,,
w2v_twitter_d200_poly_gender,0.0155644113866,0.0155644113866,,,,,,,,
w2v_twitter_d200_rbf_gender,0.000880743190742,0.000669729449022,,,,,,,,
w2v_wikigiga_d100_poly_gender,0.0257480808211,0.0312090127717,,,,,,0.0172574560831,,
w2v_wikigiga_d100_rbf_gender,0.000157052284231,0.000157052284231,,,,,0.0172574560831,,,
w2v_wikigiga_d200_poly_gender,0.0081509715935,0.00579535854433,,,,,,,,
w2v_wikigiga_d200_rbf_gender,0.000582839943179,0.000439638752627,,,,,,,,
