	word2vec-source=twitter dims=200 task=gender kernel=poly degree=1 C=0.1	word2vec-source=twitter dims=200 task=gender kernel=poly degree=1 C=10	word2vec-source=twitter dims=200 task=gender kernel=poly degree=1 C=1000	word2vec-source=twitter dims=200 task=gender kernel=poly degree=2 C=0.1	word2vec-source=twitter dims=200 task=gender kernel=poly degree=2 C=10	word2vec-source=twitter dims=200 task=gender kernel=poly degree=2 C=1000	word2vec-source=twitter dims=200 task=gender kernel=poly degree=3 C=0.1	word2vec-source=twitter dims=200 task=gender kernel=poly degree=3 C=10	word2vec-source=twitter dims=200 task=gender kernel=poly degree=3 C=1000	word2vec-source=wiki-giga dims=200 task=gender kernel=poly degree=1 C=0.1	word2vec-source=wiki-giga dims=200 task=gender kernel=poly degree=1 C=10	word2vec-source=wiki-giga dims=200 task=gender kernel=poly degree=1 C=1000	word2vec-source=wiki-giga dims=200 task=gender kernel=poly degree=2 C=0.1	word2vec-source=wiki-giga dims=200 task=gender kernel=poly degree=2 C=10	word2vec-source=wiki-giga dims=200 task=gender kernel=poly degree=2 C=1000	word2vec-source=wiki-giga dims=200 task=gender kernel=poly degree=3 C=0.1	word2vec-source=wiki-giga dims=200 task=gender kernel=poly degree=3 C=10	word2vec-source=wiki-giga dims=200 task=gender kernel=poly degree=3 C=1000
word2vec-source=twitter dims=200 task=gender kernel=poly degree=1 C=0.1						0.00515895757072									0.0376353137873			0.0376353137873
word2vec-source=twitter dims=200 task=gender kernel=poly degree=1 C=10						0.00515895757072									0.0376353137873			0.0376353137873
word2vec-source=twitter dims=200 task=gender kernel=poly degree=1 C=1000						0.00515895757072									0.0342937210365			0.0342937210365
word2vec-source=twitter dims=200 task=gender kernel=poly degree=2 C=0.1						0.00515895757072									0.0342937210365			0.0342937210365
word2vec-source=twitter dims=200 task=gender kernel=poly degree=2 C=10						0.00515895757072									0.0376353137873			0.0376353137873
word2vec-source=twitter dims=200 task=gender kernel=poly degree=2 C=1000	0.00515895757072	0.00515895757072	0.00515895757072	0.00515895757072	0.00515895757072		0.00515895757072			0.00361051431233	0.00361051431233	0.00361051431233	0.00361051431233	0.00515895757072		0.00361051431233		
word2vec-source=twitter dims=200 task=gender kernel=poly degree=3 C=0.1						0.00515895757072									0.0342937210365			0.0342937210365
word2vec-source=twitter dims=200 task=gender kernel=poly degree=3 C=10																		
word2vec-source=twitter dims=200 task=gender kernel=poly degree=3 C=1000														0.0342937210365				
word2vec-source=wiki-giga dims=200 task=gender kernel=poly degree=1 C=0.1						0.00361051431233									0.0257480808211			0.0257480808211
word2vec-source=wiki-giga dims=200 task=gender kernel=poly degree=1 C=10						0.00361051431233									0.0257480808211			0.0257480808211
word2vec-source=wiki-giga dims=200 task=gender kernel=poly degree=1 C=1000						0.00361051431233									0.0257480808211			0.0257480808211
word2vec-source=wiki-giga dims=200 task=gender kernel=poly degree=2 C=0.1						0.00361051431233									0.0257480808211			0.0257480808211
word2vec-source=wiki-giga dims=200 task=gender kernel=poly degree=2 C=10						0.00515895757072			0.0342937210365						0.0191099222068			0.0312090127717
word2vec-source=wiki-giga dims=200 task=gender kernel=poly degree=2 C=1000	0.0376353137873	0.0376353137873	0.0342937210365	0.0342937210365	0.0376353137873		0.0342937210365			0.0257480808211	0.0257480808211	0.0257480808211	0.0257480808211	0.0191099222068		0.0257480808211		
word2vec-source=wiki-giga dims=200 task=gender kernel=poly degree=3 C=0.1						0.00361051431233									0.0257480808211			0.0257480808211
word2vec-source=wiki-giga dims=200 task=gender kernel=poly degree=3 C=10																		
word2vec-source=wiki-giga dims=200 task=gender kernel=poly degree=3 C=1000	0.0376353137873	0.0376353137873	0.0342937210365	0.0342937210365	0.0376353137873		0.0342937210365			0.0257480808211	0.0257480808211	0.0257480808211	0.0257480808211	0.0312090127717		0.0257480808211		
